"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","MEDIA","2023-06-23 22:04:39 UTC","","",FALSE,1687557879187,"C","sp","z"
"","TEXT","2023-06-15 21:55:52 UTC","","",FALSE,1686866152722,"C","sp","z"
"","MEDIA","2023-06-15 21:55:52 UTC","","",FALSE,1686866152620,"C","sp","z"
"","TEXT","2023-06-15 21:55:39 UTC","","",FALSE,1686866139838,"C","sp","z"
"","MEDIA","2023-06-15 21:55:39 UTC","","",FALSE,1686866139742,"C","sp","z"
"","TEXT","2023-06-15 21:55:07 UTC","","",FALSE,1686866107942,"C","sp","z"
"","MEDIA","2023-06-15 21:55:07 UTC","","",FALSE,1686866107820,"C","sp","z"
"","TEXT","2023-06-10 09:58:57 UTC","","",TRUE,1686391137623,"C","sp","z"
"","TEXT","2023-06-10 08:38:50 UTC","","",FALSE,1686386330164,"C","sp","z"
"","MEDIA","2023-06-10 08:38:49 UTC","","",FALSE,1686386329898,"C","sp","z"
"","MEDIA","2023-05-18 07:26:34 UTC","","",FALSE,1684394794975,"C","sp","z"
"","MEDIA","2023-05-18 07:26:22 UTC","","",FALSE,1684394782113,"C","sp","z"
"","TEXT","2023-05-18 07:26:10 UTC","","",FALSE,1684394770656,"C","sp","z"
"","MEDIA","2023-05-18 07:24:56 UTC","","",FALSE,1684394696653,"C","sp","z"
"","MEDIA","2023-05-05 18:36:28 UTC","","",FALSE,1683311788442,"C","sp","z"
"","TEXT","2023-04-26 08:28:29 UTC","","",FALSE,1682497709815,"C","sp","z"
"","MEDIA","2023-04-26 08:28:29 UTC","","",FALSE,1682497709685,"C","sp","z"
"","TEXT","2023-04-15 17:27:43 UTC","","",FALSE,1681579663718,"C","sp","z"
"","MEDIA","2023-04-15 17:27:43 UTC","","",FALSE,1681579663589,"C","sp","z"
"","TEXT","2023-04-13 08:22:00 UTC","","",FALSE,1681374120524,"C","sp","z"
"","MEDIA","2023-04-13 08:22:00 UTC","","",FALSE,1681374120360,"C","sp","z"
"","TEXT","2023-04-09 20:33:09 UTC","","",FALSE,1681072389874,"C","sp","z"
"","MEDIA","2023-04-09 20:33:09 UTC","","",FALSE,1681072389743,"C","sp","z"
"","TEXT","2023-04-09 20:32:14 UTC","","",FALSE,1681072334750,"C","sp","z"
"","MEDIA","2023-04-09 20:32:14 UTC","","",FALSE,1681072334429,"C","sp","z"
"","TEXT","2023-03-21 21:34:35 UTC","","",FALSE,1679434475734,"C","sp","z"
"","MEDIA","2023-03-21 21:34:35 UTC","","",FALSE,1679434475536,"C","sp","z"
"","TEXT","2023-03-18 06:56:36 UTC","","",FALSE,1679122596698,"C","sp","z"
"","MEDIA","2023-03-18 06:56:36 UTC","","",FALSE,1679122596421,"C","sp","z"
"","TEXT","2023-02-24 07:07:43 UTC","","",FALSE,1677222463061,"C","sp","z"
"","MEDIA","2023-02-24 07:07:42 UTC","","",FALSE,1677222462920,"C","sp","z"
"","TEXT","2023-02-17 12:52:25 UTC","","",FALSE,1676638345745,"C","sp","z"
"","MEDIA","2023-02-17 12:52:25 UTC","","",FALSE,1676638345567,"C","sp","z"
"","TEXT","2023-02-16 22:04:44 UTC","","",FALSE,1676585084621,"C","sp","z"
"","TEXT","2023-02-16 22:03:45 UTC","","",FALSE,1676585025403,"C","sp","z"
"","TEXT","2023-02-16 22:00:44 UTC","","",FALSE,1676584844547,"C","sp","z"
"","MEDIA","2023-02-16 22:00:44 UTC","","",FALSE,1676584844454,"C","sp","z"
"","TEXT","2023-02-16 21:59:43 UTC","","",TRUE,1676584783894,"C","sp","z"
"","TEXT","2023-02-16 21:59:23 UTC","","",FALSE,1676584763596,"C","sp","z"
"","MEDIA","2023-02-16 21:59:23 UTC","","",FALSE,1676584763292,"C","sp","z"
"","TEXT","2023-01-02 22:51:18 UTC","","",TRUE,1672699878555,"C","sp","z"
"","TEXT","2023-01-02 22:46:37 UTC","","",FALSE,1672699597044,"C","sp","z"
"","TEXT","2023-01-02 22:46:10 UTC","","",FALSE,1672699570393,"C","sp","z"
"","TEXT","2023-01-02 22:46:04 UTC","","",FALSE,1672699564599,"C","sp","z"
"","TEXT","2023-01-02 22:35:39 UTC","","",TRUE,1672698939250,"C","sp","z"
"","TEXT","2023-01-02 22:30:12 UTC","","",FALSE,1672698612975,"C","sp","z"
