"person","app","day","month","year","strDate","date"
"f","mg","09","11","2022","09-11-2022","20221109"
"f","mg","08","11","2022","08-11-2022","20221108"
"f","mg","05","11","2022","05-11-2022","20221105"
"f","mg","05","11","2022","05-11-2022","20221105"
"f","mg","02","11","2022","02-11-2022","20221102"
"f","mg","01","11","2022","01-11-2022","20221101"
"f","mg","01","11","2022","01-11-2022","20221101"
"f","mg","31","10","2022","31-10-2022","20221031"
"f","mg","27","10","2022","27-10-2022","20221027"
"f","mg","26","10","2022","26-10-2022","20221026"
"f","mg","19","10","2022","19-10-2022","20221019"
"f","mg","19","10","2022","19-10-2022","20221019"
"f","mg","19","10","2022","19-10-2022","20221019"
"f","mg","19","10","2022","19-10-2022","20221019"
"f","mg","19","10","2022","19-10-2022","20221019"
"f","mg","17","10","2022","17-10-2022","20221017"
"f","mg","17","10","2022","17-10-2022","20221017"
"f","mg","15","10","2022","15-10-2022","20221015"
"f","mg","14","10","2022","14-10-2022","20221014"
"f","mg","13","10","2022","13-10-2022","20221013"
"f","mg","11","10","2022","11-10-2022","20221011"
"f","mg","09","10","2022","09-10-2022","20221009"
"f","mg","09","10","2022","09-10-2022","20221009"
"f","mg","09","10","2022","09-10-2022","20221009"
"f","mg","07","10","2022","07-10-2022","20221007"
"f","mg","06","10","2022","06-10-2022","20221006"
"f","mg","05","10","2022","05-10-2022","20221005"
"f","mg","04","10","2022","04-10-2022","20221004"
"f","mg","04","10","2022","04-10-2022","20221004"
"f","mg","04","10","2022","04-10-2022","20221004"
"f","mg","04","10","2022","04-10-2022","20221004"
"f","mg","03","10","2022","03-10-2022","20221003"
"f","mg","03","10","2022","03-10-2022","20221003"
"f","mg","02","10","2022","02-10-2022","20221002"
"f","mg","02","10","2022","02-10-2022","20221002"
"f","mg","02","10","2022","02-10-2022","20221002"
"f","mg","30","09","2022","30-09-2022","20220930"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","26","09","2022","26-09-2022","20220926"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","25","09","2022","25-09-2022","20220925"
"f","mg","24","09","2022","24-09-2022","20220924"
"f","mg","24","09","2022","24-09-2022","20220924"
